date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2025-06-30,SKU0001,277,765,25.0,683
2025-07-07,SKU0001,531,385,25.0,683
2025-07-14,SKU0001,383,385,25.0,683
2025-07-21,SKU0001,271,771,25.0,683
2025-07-28,SKU0001,524,386,25.0,683
2025-08-04,SKU0001,328,386,25.0,683
2025-08-11,SKU0001,123,795,25.0,683
2025-08-18,SKU0001,373,409,25.0,683
2025-08-25,SKU0001,272,790,25.0,683
2025-09-01,SKU0001,578,381,25.0,683
2025-09-08,SKU0001,405,381,25.0,683
2025-09-15,SKU0001,243,779,25.0,683
2025-09-22,SKU0001,489,398,25.0,683
2025-09-29,SKU0001,383,398,25.0,683
2025-10-06,SKU0001,227,784,25.0,683
2025-10-13,SKU0001,488,386,25.0,683
2025-10-20,SKU0001,205,767,25.0,683
2025-10-27,SKU0001,0,767,25.0,683
2025-11-03,SKU0001,242,772,25.0,683
2025-11-10,SKU0001,63,772,25.0,683
2025-11-17,SKU0001,292,391,25.0,683
2025-11-24,SKU0001,105,788,25.0,683
2025-12-01,SKU0001,194,827,25.0,683
2025-12-08,SKU0001,0,827,25.0,683
2025-12-15,SKU0001,301,430,25.0,683
2025-12-22,SKU0001,126,818,25.0,683
2025-12-29,SKU0001,413,388,25.0,683
2024-01-01,SKU0002,530,0,11.0,400
2024-01-08,SKU0002,324,525,11.0,400
2024-01-15,SKU0002,117,525,11.0,400
2024-01-22,SKU0002,435,0,11.0,400
2024-01-29,SKU0002,228,532,11.0,400
2024-02-05,SKU0002,21,532,11.0,400
2024-02-12,SKU0002,347,0,11.0,400
2024-02-19,SKU0002,140,650,11.0,400
2024-02-26,SKU0002,0,650,11.0,400
2024-03-04,SKU0002,473,0,11.0,400
2024-03-11,SKU0002,316,495,11.0,400
2024-03-18,SKU0002,137,495,11.0,400
2024-03-25,SKU0002,466,0,11.0,400
2024-04-01,SKU0002,299,524,11.0,400
2024-04-08,SKU0002,85,524,11.0,400
2024-04-15,SKU0002,424,0,11.0,400
2024-04-22,SKU0002,236,496,11.0,400
2024-04-29,SKU0002,590,0,11.0,400
2024-05-06,SKU0002,405,0,11.0,400
2024-05-13,SKU0002,257,559,11.0,400
2024-05-20,SKU0002,91,559,11.0,400
2024-05-27,SKU0002,461,0,11.0,400
2024-06-03,SKU0002,319,465,11.0,400
2024-06-10,SKU0002,119,465,11.0,400
2024-06-17,SKU0002,394,0,11.0,400
2024-06-24,SKU0002,226,492,11.0,400
2024-07-01,SKU0002,536,0,11.0,400
2024-07-08,SKU0002,357,0,11.0,400
2024-07-15,SKU0002,215,537,11.0,400
2024-07-22,SKU0002,543,0,11.0,400
2024-07-29,SKU0002,369,0,11.0,400
2024-08-05,SKU0002,97,495,11.0,400
2024-08-12,SKU0002,399,0,11.0,400
2024-08-19,SKU0002,225,0,11.0,400
2024-08-26,SKU0002,87,702,11.0,400
2024-09-02,SKU0002,0,702,11.0,400
2024-09-09,SKU0002,548,0,11.0,400
2024-09-16,SKU0002,359,0,11.0,400
2024-09-23,SKU0002,232,512,11.0,400
2024-09-30,SKU0002,578,0,11.0,400
2024-10-07,SKU0002,414,0,11.0,400
2024-10-14,SKU0002,199,0,11.0,400
2024-10-21,SKU0002,0,701,11.0,400
2024-10-28,SKU0002,604,0,11.0,400
2024-11-04,SKU0002,385,0,11.0,400
2024-11-11,SKU0002,167,486,11.0,400
2024-11-18,SKU0002,558,0,11.0,400
2024-11-25,SKU0002,293,556,11.0,400
2024-12-02,SKU0002,0,556,11.0,400
2024-12-09,SKU0002,397,452,11.0,400
2024-12-16,SKU0002,102,452,11.0,400
2024-12-23,SKU0002,194,539,11.0,400
2024-12-30,SKU0002,0,539,11.0,400
2025-01-06,SKU0002,131,718,11.0,400
2025-01-13,SKU0002,0,718,11.0,400
2025-01-20,SKU0002,592,0,11.0,400
2025-01-27,SKU0002,356,0,11.0,400
2025-02-03,SKU0002,142,561,11.0,400
2025-02-10,SKU0002,532,0,11.0,400
2025-02-17,SKU0002,354,468,11.0,400
2025-02-24,SKU0002,117,468,11.0,400
2025-03-03,SKU0002,411,0,11.0,400
2025-03-10,SKU0002,249,530,11.0,400
2025-03-17,SKU0002,34,530,11.0,400
2025-03-24,SKU0002,381,454,11.0,400
2025-03-31,SKU0002,180,454,11.0,400
2025-04-07,SKU0002,459,0,11.0,400
2025-04-14,SKU0002,289,462,11.0,400
2025-04-21,SKU0002,559,0,11.0,400
2025-04-28,SKU0002,373,0,11.0,400
2025-05-05,SKU0002,220,530,11.0,400
2025-05-12,SKU0002,586,0,11.0,400
2025-05-19,SKU0002,405,0,11.0,400
2025-05-26,SKU0002,232,557,11.0,400
2025-06-02,SKU0002,28,557,11.0,400
2025-06-09,SKU0002,385,0,11.0,400
2025-06-16,SKU0002,180,640,11.0,400
2025-06-23,SKU0002,31,640,11.0,400
2025-06-30,SKU0002,541,0,11.0,400
2025-07-07,SKU0002,334,515,11.0,400
2025-07-14,SKU0002,139,515,11.0,400
2025-07-21,SKU0002,470,0,11.0,400
2025-07-28,SKU0002,347,0,11.0,400
2025-08-04,SKU0002,111,556,11.0,400
2025-08-11,SKU0002,475,0,11.0,400
2025-08-18,SKU0002,313,492,11.0,400
2025-08-25,SKU0002,179,492,11.0,400
2025-09-01,SKU0002,511,0,11.0,400
2025-09-08,SKU0002,333,516,11.0,400
2025-09-15,SKU0002,213,516,11.0,400
2025-09-22,SKU0002,584,0,11.0,400
2025-09-29,SKU0002,428,0,11.0,400
2025-10-06,SKU0002,206,541,11.0,400
2025-10-13,SKU0002,0,541,11.0,400
2025-10-20,SKU0002,192,0,11.0,400
2025-10-27,SKU0002,0,703,11.0,400
2025-11-03,SKU0002,606,0,11.0,400
2025-11-10,SKU0002,429,0,11.0,400
2025-11-17,SKU0002,208,528,11.0,400
2025-11-24,SKU0002,43,528,11.0,400
2025-12-01,SKU0002,207,0,11.0,400
2025-12-08,SKU0002,0,698,11.0,400
2025-12-15,SKU0002,565,0,11.0,400
2025-12-22,SKU0002,334,515,11.0,400
2025-12-29,SKU0002,77,515,11.0,400
2024-01-01,SKU0003,313,0,10.0,151
2024-01-08,SKU0003,231,0,10.0,151
2024-01-15,SKU0003,149,188,10.0,151
2024-01-22,SKU0003,67,188,10.0,151
2024-01-29,SKU0003,173,0,10.0,151
2024-02-05,SKU0003,91,199,10.0,151
2024-02-12,SKU0003,208,0,10.0,151
2024-02-19,SKU0003,126,187,10.0,151
2024-02-26,SKU0003,44,187,10.0,151
2024-03-04,SKU0003,149,188,10.0,151
2024-03-11,SKU0003,67,188,10.0,151
2024-03-18,SKU0003,173,0,10.0,151
2024-03-25,SKU0003,91,199,10.0,151
2024-04-01,SKU0003,208,0,10.0,151
2024-04-08,SKU0003,126,187,10.0,151
2024-04-15,SKU0003,44,187,10.0,151
2024-04-22,SKU0003,149,0,10.0,151
2024-04-29,SKU0003,67,211,10.0,151
2024-05-06,SKU0003,196,0,10.0,151
2024-05-13,SKU0003,114,199,10.0,151
2024-05-20,SKU0003,32,199,10.0,151
2024-05-27,SKU0003,149,188,10.0,151
2024-06-03,SKU0003,67,188,10.0,151
2024-06-10,SKU0003,173,0,10.0,151
2024-06-17,SKU0003,91,187,10.0,151
2024-06-24,SKU0003,196,0,10.0,151
2024-07-01,SKU0003,114,188,10.0,151
2024-07-08,SKU0003,220,0,10.0,151
2024-07-15,SKU0003,138,187,10.0,151
2024-07-22,SKU0003,56,187,10.0,151
2024-07-29,SKU0003,161,0,10.0,151
2024-08-05,SKU0003,79,187,10.0,151
2024-08-12,SKU0003,184,0,10.0,151
2024-08-19,SKU0003,102,188,10.0,151
2024-08-26,SKU0003,208,0,10.0,151
2024-09-02,SKU0003,126,187,10.0,151
2024-09-09,SKU0003,44,187,10.0,151
2024-09-16,SKU0003,149,0,10.0,151
2024-09-23,SKU0003,67,199,10.0,151
2024-09-30,SKU0003,184,0,10.0,151
2024-10-07,SKU0003,102,188,10.0,151
2024-10-14,SKU0003,208,0,10.0,151
2024-10-21,SKU0003,126,199,10.0,151
2024-10-28,SKU0003,44,199,10.0,151
2024-11-04,SKU0003,161,0,10.0,151
2024-11-11,SKU0003,79,187,10.0,151
2024-11-18,SKU0003,184,0,10.0,151
2024-11-25,SKU0003,102,188,10.0,151
2024-12-02,SKU0003,208,0,10.0,151
2024-12-09,SKU0003,126,187,10.0,151
2024-12-16,SKU0003,44,187,10.0,151
2024-12-23,SKU0003,149,188,10.0,151
2024-12-30,SKU0003,64,188,10.0,151
2025-01-06,SKU0003,113,224,10.0,151
2025-01-13,SKU0003,0,224,10.0,151
2025-01-20,SKU0003,166,0,10.0,151
2025-01-27,SKU0003,54,213,10.0,151
2025-02-03,SKU0003,191,0,10.0,151
2025-02-10,SKU0003,103,193,10.0,151
2025-02-17,SKU0003,213,0,10.0,151
2025-02-24,SKU0003,134,193,10.0,151
2025-03-03,SKU0003,44,193,10.0,151
2025-03-10,SKU0003,168,0,10.0,151
2025-03-17,SKU0003,102,191,10.0,151
2025-03-24,SKU0003,229,0,10.0,151
2025-03-31,SKU0003,153,0,10.0,151
2025-04-07,SKU0003,86,194,10.0,151
2025-04-14,SKU0003,211,0,10.0,151
2025-04-21,SKU0003,144,193,10.0,151
2025-04-28,SKU0003,70,193,10.0,151
2025-05-05,SKU0003,199,0,10.0,151
2025-05-12,SKU0003,127,202,10.0,151
2025-05-19,SKU0003,52,202,10.0,151
2025-05-26,SKU0003,188,0,10.0,151
2025-06-02,SKU0003,113,192,10.0,151
2025-06-09,SKU0003,246,0,10.0,151
2025-06-16,SKU0003,186,0,10.0,151
2025-06-23,SKU0003,121,195,10.0,151
2025-06-30,SKU0003,246,0,10.0,151
2025-07-07,SKU0003,174,0,10.0,151
2025-07-14,SKU0003,104,192,10.0,151
2025-07-21,SKU0003,226,0,10.0,151
2025-07-28,SKU0003,178,0,10.0,151
2025-08-04,SKU0003,98,202,10.0,151
2025-08-11,SKU0003,197,0,10.0,151
2025-08-18,SKU0003,115,190,10.0,151
2025-08-25,SKU0003,253,0,10.0,151
2025-09-01,SKU0003,170,0,10.0,151
2025-09-08,SKU0003,116,188,10.0,151
2025-09-15,SKU0003,257,0,10.0,151
2025-09-22,SKU0003,190,0,10.0,151
2025-09-29,SKU0003,127,191,10.0,151
2025-10-06,SKU0003,51,191,10.0,151
2025-10-13,SKU0003,166,0,10.0,151
2025-10-20,SKU0003,22,197,10.0,151
2025-10-27,SKU0003,164,0,10.0,151
2025-11-03,SKU0003,105,189,10.0,151
2025-11-10,SKU0003,215,0,10.0,151
2025-11-17,SKU0003,139,189,10.0,151
2025-11-24,SKU0003,55,189,10.0,151
2025-12-01,SKU0003,56,201,10.0,151
2025-12-08,SKU0003,188,0,10.0,151
2025-12-15,SKU0003,107,191,10.0,151
2025-12-22,SKU0003,207,0,10.0,151
2025-12-29,SKU0003,107,207,10.0,151
2024-01-01,SKU0004,840,0,25.0,695
2024-01-08,SKU0004,692,389,25.0,695
2024-01-15,SKU0004,545,389,25.0,695
2024-01-22,SKU0004,397,389,25.0,695
2024-01-29,SKU0004,250,789,25.0,695
2024-02-05,SKU0004,491,400,25.0,695
2024-02-12,SKU0004,343,400,25.0,695
2024-02-19,SKU0004,196,801,25.0,695
2024-02-26,SKU0004,448,401,25.0,695
2024-03-04,SKU0004,301,401,25.0,695
2024-03-11,SKU0004,554,422,25.0,695
2024-03-18,SKU0004,406,422,25.0,695
2024-03-25,SKU0004,259,822,25.0,695
2024-04-01,SKU0004,533,400,25.0,695
2024-04-08,SKU0004,386,400,25.0,695
2024-04-15,SKU0004,238,843,25.0,695
2024-04-22,SKU0004,490,443,25.0,695
2024-04-29,SKU0004,343,443,25.0,695
2024-05-06,SKU0004,195,844,25.0,695
2024-05-13,SKU0004,491,401,25.0,695
2024-05-20,SKU0004,343,401,25.0,695
2024-05-27,SKU0004,195,843,25.0,695
2024-06-03,SKU0004,449,442,25.0,695
2024-06-10,SKU0004,301,442,25.0,695
2024-06-17,SKU0004,154,843,25.0,695
2024-06-24,SKU0004,448,401,25.0,695
2024-07-01,SKU0004,300,401,25.0,695
2024-07-08,SKU0004,554,401,25.0,695
2024-07-15,SKU0004,406,401,25.0,695
2024-07-22,SKU0004,259,801,25.0,695
2024-07-29,SKU0004,512,400,25.0,695
2024-08-05,SKU0004,364,400,25.0,695
2024-08-12,SKU0004,217,801,25.0,695
2024-08-19,SKU0004,469,401,25.0,695
2024-08-26,SKU0004,322,401,25.0,695
2024-09-02,SKU0004,174,802,25.0,695
2024-09-09,SKU0004,427,401,25.0,695
2024-09-16,SKU0004,280,801,25.0,695
2024-09-23,SKU0004,533,400,25.0,695
2024-09-30,SKU0004,386,400,25.0,695
2024-10-07,SKU0004,238,822,25.0,695
2024-10-14,SKU0004,490,422,25.0,695
2024-10-21,SKU0004,343,422,25.0,695
2024-10-28,SKU0004,195,823,25.0,695
2024-11-04,SKU0004,470,401,25.0,695
2024-11-11,SKU0004,322,401,25.0,695
2024-11-18,SKU0004,174,801,25.0,695
2024-11-25,SKU0004,428,400,25.0,695
2024-12-02,SKU0004,280,801,25.0,695
2024-12-09,SKU0004,533,401,25.0,695
2024-12-16,SKU0004,385,401,25.0,695
2024-12-23,SKU0004,237,801,25.0,695
2024-12-30,SKU0004,491,400,25.0,695
2025-01-06,SKU0004,343,400,25.0,695
2025-01-13,SKU0004,196,801,25.0,695
2025-01-20,SKU0004,448,401,25.0,695
2025-01-27,SKU0004,300,401,25.0,695
2025-02-03,SKU0004,554,401,25.0,695
2025-02-10,SKU0004,406,401,25.0,695
2025-02-17,SKU0004,259,801,25.0,695
2025-02-24,SKU0004,512,400,25.0,695
2025-03-03,SKU0004,364,400,25.0,695
2025-03-10,SKU0004,217,801,25.0,695
2025-03-17,SKU0004,469,401,25.0,695
2025-03-24,SKU0004,322,401,25.0,695
2025-03-31,SKU0004,174,823,25.0,695
2025-04-07,SKU0004,427,422,25.0,695
2025-04-14,SKU0004,280,422,25.0,695
2025-04-21,SKU0004,554,421,25.0,695
2025-04-28,SKU0004,407,421,25.0,695
2025-05-05,SKU0004,259,822,25.0,695
2025-05-12,SKU0004,532,401,25.0,695
2025-05-19,SKU0004,385,401,25.0,695
2025-05-26,SKU0004,237,802,25.0,695
2025-06-02,SKU0004,491,401,25.0,695
2025-06-09,SKU0004,343,401,25.0,695
2025-06-16,SKU0004,196,801,25.0,695
2025-06-23,SKU0004,449,400,25.0,695
2025-06-30,SKU0004,301,400,25.0,695
2025-07-07,SKU0004,554,401,25.0,695
2025-07-14,SKU0004,406,401,25.0,695
2025-07-21,SKU0004,259,822,25.0,695
2025-07-28,SKU0004,512,421,25.0,695
2025-08-04,SKU0004,364,421,25.0,695
2025-08-11,SKU0004,217,864,25.0,695
2025-08-18,SKU0004,490,443,25.0,695
2025-08-25,SKU0004,343,443,25.0,695
2025-09-01,SKU0004,195,844,25.0,695
2025-09-08,SKU0004,490,401,25.0,695
2025-09-15,SKU0004,343,401,25.0,695
2025-09-22,SKU0004,195,844,25.0,695
2025-09-29,SKU0004,449,443,25.0,695
2025-10-06,SKU0004,301,443,25.0,695
2025-10-13,SKU0004,153,903,25.0,695
2025-10-20,SKU0004,367,460,25.0,695
2025-10-27,SKU0004,209,850,25.0,695
2025-11-03,SKU0004,91,850,25.0,695
2025-11-10,SKU0004,428,390,25.0,695
2025-11-17,SKU0004,301,780,25.0,695
2025-11-24,SKU0004,554,390,25.0,695
2025-12-01,SKU0004,356,390,25.0,695
2025-12-08,SKU0004,173,797,25.0,695
2025-12-15,SKU0004,471,407,25.0,695
2025-12-22,SKU0004,362,407,25.0,695
2025-12-29,SKU0004,636,391,25.0,695
2024-01-01,SKU0005,959,0,12.0,621
2024-01-08,SKU0005,667,0,12.0,621
2024-01-15,SKU0005,375,766,12.0,621
2024-01-22,SKU0005,83,766,12.0,621
2024-01-29,SKU0005,557,709,12.0,621
2024-02-05,SKU0005,265,709,12.0,621
2024-02-12,SKU0005,682,0,12.0,621
2024-02-19,SKU0005,390,667,12.0,621
2024-02-26,SKU0005,765,0,12.0,621
2024-03-04,SKU0005,473,793,12.0,621
2024-03-11,SKU0005,181,793,12.0,621
2024-03-18,SKU0005,682,0,12.0,621
2024-03-25,SKU0005,390,709,12.0,621
2024-04-01,SKU0005,98,709,12.0,621
2024-04-08,SKU0005,515,668,12.0,621
2024-04-15,SKU0005,223,668,12.0,621
2024-04-22,SKU0005,599,0,12.0,621
2024-04-29,SKU0005,306,709,12.0,621
2024-05-06,SKU0005,723,0,12.0,621
2024-05-13,SKU0005,431,668,12.0,621
2024-05-20,SKU0005,139,668,12.0,621
2024-05-27,SKU0005,515,667,12.0,621
2024-06-03,SKU0005,223,667,12.0,621
2024-06-10,SKU0005,598,668,12.0,621
2024-06-17,SKU0005,306,668,12.0,621
2024-06-24,SKU0005,682,0,12.0,621
2024-07-01,SKU0005,390,751,12.0,621
2024-07-08,SKU0005,98,751,12.0,621
2024-07-15,SKU0005,557,709,12.0,621
2024-07-22,SKU0005,265,709,12.0,621
2024-07-29,SKU0005,682,0,12.0,621
2024-08-05,SKU0005,390,668,12.0,621
2024-08-12,SKU0005,766,0,12.0,621
2024-08-19,SKU0005,474,751,12.0,621
2024-08-26,SKU0005,182,751,12.0,621
2024-09-02,SKU0005,641,0,12.0,621
2024-09-09,SKU0005,349,667,12.0,621
2024-09-16,SKU0005,724,0,12.0,621
2024-09-23,SKU0005,431,751,12.0,621
2024-09-30,SKU0005,139,751,12.0,621
2024-10-07,SKU0005,598,668,12.0,621
2024-10-14,SKU0005,306,668,12.0,621
2024-10-21,SKU0005,682,0,12.0,621
2024-10-28,SKU0005,390,751,12.0,621
2024-11-04,SKU0005,98,751,12.0,621
2024-11-11,SKU0005,551,715,12.0,621
2024-11-18,SKU0005,299,715,12.0,621
2024-11-25,SKU0005,761,0,12.0,621
2024-12-02,SKU0005,225,656,12.0,621
2024-12-09,SKU0005,617,649,12.0,621
2024-12-16,SKU0005,139,649,12.0,621
2024-12-23,SKU0005,386,806,12.0,621
2024-12-30,SKU0005,15,806,12.0,621
2025-01-06,SKU0005,488,717,12.0,621
2025-01-13,SKU0005,78,717,12.0,621
2025-01-20,SKU0005,477,716,12.0,621
2025-01-27,SKU0005,241,716,12.0,621
2025-02-03,SKU0005,618,0,12.0,621
2025-02-10,SKU0005,383,690,12.0,621
2025-02-17,SKU0005,760,0,12.0,621
2025-02-24,SKU0005,511,675,12.0,621
2025-03-03,SKU0005,222,675,12.0,621
2025-03-10,SKU0005,624,0,12.0,621
2025-03-17,SKU0005,414,673,12.0,621
2025-03-24,SKU0005,838,0,12.0,621
2025-03-31,SKU0005,635,0,12.0,621
2025-04-07,SKU0005,420,681,12.0,621
2025-04-14,SKU0005,899,0,12.0,621
2025-04-21,SKU0005,685,0,12.0,621
2025-04-28,SKU0005,469,662,12.0,621
2025-05-05,SKU0005,922,0,12.0,621
2025-05-12,SKU0005,702,0,12.0,621
2025-05-19,SKU0005,454,733,12.0,621
2025-05-26,SKU0005,162,733,12.0,621
2025-06-02,SKU0005,632,0,12.0,621
2025-06-09,SKU0005,431,659,12.0,621
2025-06-16,SKU0005,810,0,12.0,621
2025-06-23,SKU0005,539,656,12.0,621
2025-06-30,SKU0005,311,656,12.0,621
2025-07-07,SKU0005,745,0,12.0,621
2025-07-14,SKU0005,445,652,12.0,621
2025-07-21,SKU0005,275,652,12.0,621
2025-07-28,SKU0005,723,0,12.0,621
2025-08-04,SKU0005,358,651,12.0,621
2025-08-11,SKU0005,0,651,12.0,621
2025-08-18,SKU0005,447,657,12.0,621
2025-08-25,SKU0005,912,0,12.0,621
2025-09-01,SKU0005,714,0,12.0,621
2025-09-08,SKU0005,534,674,12.0,621
2025-09-15,SKU0005,325,674,12.0,621
2025-09-22,SKU0005,827,0,12.0,621
2025-09-29,SKU0005,627,0,12.0,621
2025-10-06,SKU0005,365,760,12.0,621
2025-10-13,SKU0005,61,760,12.0,621
2025-10-20,SKU0005,327,661,12.0,621
2025-10-27,SKU0005,0,661,12.0,621
2025-11-03,SKU0005,412,652,12.0,621
2025-11-10,SKU0005,840,0,12.0,621
2025-11-17,SKU0005,596,670,12.0,621
2025-11-24,SKU0005,315,670,12.0,621
2025-12-01,SKU0005,478,0,12.0,621
2025-12-08,SKU0005,59,933,12.0,621
2025-12-15,SKU0005,867,0,12.0,621
2025-12-22,SKU0005,570,0,12.0,621
2025-12-29,SKU0005,197,741,12.0,621
2024-01-01,SKU0006,1407,0,20.0,1055
2024-01-08,SKU0006,1164,0,20.0,1055
2024-01-15,SKU0006,920,733,20.0,1055
2024-01-22,SKU0006,677,733,20.0,1055
2024-01-29,SKU0006,433,733,20.0,1055
2024-02-05,SKU0006,923,801,20.0,1055
2024-02-12,SKU0006,679,801,20.0,1055
2024-02-19,SKU0006,436,801,20.0,1055
2024-02-26,SKU0006,993,765,20.0,1055
2024-03-04,SKU0006,749,765,20.0,1055
2024-03-11,SKU0006,506,765,20.0,1055
2024-03-18,SKU0006,1027,0,20.0,1055
2024-03-25,SKU0006,784,765,20.0,1055
2024-04-01,SKU0006,540,765,20.0,1055
2024-04-08,SKU0006,1062,0,20.0,1055
2024-04-15,SKU0006,818,801,20.0,1055
2024-04-22,SKU0006,575,801,20.0,1055
2024-04-29,SKU0006,331,801,20.0,1055
2024-05-06,SKU0006,889,0,20.0,1055
2024-05-13,SKU0006,645,1113,20.0,1055
2024-05-20,SKU0006,402,1113,20.0,1055
2024-05-27,SKU0006,158,1113,20.0,1055
2024-06-03,SKU0006,1043,0,20.0,1055
2024-06-10,SKU0006,800,958,20.0,1055
2024-06-17,SKU0006,556,958,20.0,1055
2024-06-24,SKU0006,313,958,20.0,1055
2024-07-01,SKU0006,1027,0,20.0,1055
2024-07-08,SKU0006,784,835,20.0,1055
2024-07-15,SKU0006,540,835,20.0,1055
2024-07-22,SKU0006,297,835,20.0,1055
2024-07-29,SKU0006,888,0,20.0,1055
2024-08-05,SKU0006,645,939,20.0,1055
2024-08-12,SKU0006,401,939,20.0,1055
2024-08-19,SKU0006,158,939,20.0,1055
2024-08-26,SKU0006,853,731,20.0,1055
2024-09-02,SKU0006,610,731,20.0,1055
2024-09-09,SKU0006,366,731,20.0,1055
2024-09-16,SKU0006,854,800,20.0,1055
2024-09-23,SKU0006,610,800,20.0,1055
2024-09-30,SKU0006,366,800,20.0,1055
2024-10-07,SKU0006,923,0,20.0,1055
2024-10-14,SKU0006,679,974,20.0,1055
2024-10-21,SKU0006,436,974,20.0,1055
2024-10-28,SKU0006,192,974,20.0,1055
2024-11-04,SKU0006,923,766,20.0,1055
2024-11-11,SKU0006,679,766,20.0,1055
2024-11-18,SKU0006,436,766,20.0,1055
2024-11-25,SKU0006,958,800,20.0,1055
2024-12-02,SKU0006,715,800,20.0,1055
2024-12-09,SKU0006,471,800,20.0,1055
2024-12-16,SKU0006,1028,730,20.0,1055
2024-12-23,SKU0006,784,730,20.0,1055
2024-12-30,SKU0006,541,730,20.0,1055
2025-01-06,SKU0006,1027,0,20.0,1055
2025-01-13,SKU0006,784,800,20.0,1055
2025-01-20,SKU0006,540,800,20.0,1055
2025-01-27,SKU0006,297,800,20.0,1055
2025-02-03,SKU0006,853,766,20.0,1055
2025-02-10,SKU0006,609,766,20.0,1055
2025-02-17,SKU0006,366,766,20.0,1055
2025-02-24,SKU0006,888,730,20.0,1055
2025-03-03,SKU0006,645,730,20.0,1055
2025-03-10,SKU0006,401,730,20.0,1055
2025-03-17,SKU0006,888,766,20.0,1055
2025-03-24,SKU0006,644,766,20.0,1055
2025-03-31,SKU0006,401,766,20.0,1055
2025-04-07,SKU0006,923,765,20.0,1055
2025-04-14,SKU0006,680,765,20.0,1055
2025-04-21,SKU0006,436,765,20.0,1055
2025-04-28,SKU0006,958,731,20.0,1055
2025-05-05,SKU0006,714,731,20.0,1055
2025-05-12,SKU0006,471,731,20.0,1055
2025-05-19,SKU0006,958,765,20.0,1055
2025-05-26,SKU0006,715,765,20.0,1055
2025-06-02,SKU0006,471,765,20.0,1055
2025-06-09,SKU0006,993,731,20.0,1055
2025-06-16,SKU0006,749,731,20.0,1055
