sku_id,week_start,units_sold,revenue,avg_price,promo_days,holiday_days,category,subcategory,unit_cost,week_of_year,month,is_promo_week,is_holiday_week,lag_1,lag_2,lag_4,lag_8,roll_mean_4,roll_mean_8,roll_std_4,seasonal_naive,on_hand_units,on_order_units,lead_time_days,reorder_point
SKU0067,2024-01-30,219.0,1360160.82,6210.78,0,0,Bedding,Pillows,2464.96,5,1,0,0,149.0,129.0,178.0,,165.75,,34.07222720437592,165.75,0,623,26.0,532
SKU0182,2024-01-30,46.0,62558.62,1359.97,0,0,Kitchen,Cutlery,615.27,5,1,0,0,,,,,,,,,426,483,23.0,714
SKU0115,2024-01-30,211.0,1820035.3599999999,8625.76,0,0,Decor,Rugs,3690.08,5,1,0,0,261.0,272.0,,,,,,,248,354,14.0,383
SKU0084,2024-02-06,124.0,699600.56,5641.94,0,0,Small Appliances,Kettles,3714.4,6,2,0,0,,,,,,,,,328,0,12.0,310
SKU0089,2024-02-06,22.0,84277.82,3830.81,0,0,Decor,Rugs,2015.93,6,2,0,0,,,,,,,,,53,182,9.0,111
SKU0113,2024-02-06,151.0,72475.47,479.96999999999997,0,0,Small Appliances,Heaters,2001.84,6,2,0,0,118.0,127.0,,,,,,,220,243,28.0,448
SKU0078,2024-02-06,233.0,294609.86,1264.42,0,0,Furniture,Sofas,863.64,6,2,0,0,,,,,,,,,0,290,11.0,256
SKU0022,2024-02-06,145.0,322500.3,2224.14,0,0,Small Appliances,Fans,1269.26,6,2,0,0,,,,,,,,,483,812,14.0,775
SKU0115,2024-02-06,276.0,2380709.76,8625.76,0,0,Decor,Rugs,3690.08,6,2,0,0,211.0,261.0,285.0,,257.25,,32.35609164696068,257.25,37,354,14.0,383
SKU0111,2024-02-06,133.0,782397.77,5882.69,0,0,Bedding,Comforters,3814.54,6,2,0,0,146.0,142.0,181.0,,146.5,,26.337552404628696,146.5,97,443,25.0,360
SKU0055,2024-02-06,227.0,391874.63999999996,1726.32,0,0,Decor,Rugs,1115.69,6,2,0,0,192.0,210.0,252.0,,219.5,,25.317977802343236,219.5,286,358,25.0,517
SKU0067,2024-02-06,148.0,919195.44,6210.78,0,0,Bedding,Pillows,2464.96,6,2,0,0,219.0,149.0,207.0,,176.0,,43.77213725647796,176.0,114,629,26.0,532
SKU0182,2024-02-06,177.0,240714.69,1359.97,0,0,Kitchen,Cutlery,615.27,6,2,0,0,46.0,,,,,,,,253,483,23.0,714
SKU0113,2024-02-13,109.0,52316.729999999996,479.96999999999997,0,0,Small Appliances,Heaters,2001.84,7,2,0,0,151.0,118.0,,,,,,,69,567,28.0,448
SKU0089,2024-02-13,218.0,835116.5800000001,3830.81,0,0,Decor,Rugs,2015.93,7,2,0,0,22.0,,,,,,,,0,182,9.0,111
SKU0055,2024-02-13,204.0,352169.28,1726.32,0,0,Decor,Rugs,1115.69,7,2,0,0,227.0,192.0,224.0,,213.25,,15.986973864158253,213.25,59,715,25.0,517
SKU0129,2024-02-13,1.0,888.24,888.24,0,0,Small Appliances,Kettles,360.93,7,2,0,0,,,,,,,,,56,66,29.0,122
SKU0084,2024-02-13,139.0,784229.66,5641.94,0,0,Small Appliances,Kettles,3714.4,7,2,0,0,124.0,,,,,,,,204,323,12.0,310
SKU0067,2024-02-13,119.0,739082.82,6210.78,0,0,Bedding,Pillows,2464.96,7,2,0,0,148.0,219.0,129.0,,161.25,,39.58429823385297,161.25,274,321,26.0,532
SKU0007,2024-02-13,9.0,75494.61,8388.29,0,0,Bedding,Pillows,3593.86,7,2,0,0,,,,,,,,,48,46,26.0,75
SKU0078,2024-02-13,322.0,407143.24,1264.42,0,0,Furniture,Sofas,863.64,7,2,0,0,233.0,,,,,,,,17,294,11.0,256
SKU0115,2024-02-13,273.0,2354832.48,8625.76,0,0,Decor,Rugs,3690.08,7,2,0,0,276.0,211.0,272.0,,255.0,,30.011109054257208,255.0,191,412,14.0,383
SKU0111,2024-02-13,133.0,782397.77,5882.69,0,0,Bedding,Comforters,3814.54,7,2,0,0,133.0,146.0,117.0,,134.5,,12.871156384201363,134.5,206,201,25.0,360
SKU0182,2024-02-13,165.0,224395.05,1359.97,0,0,Kitchen,Cutlery,615.27,7,2,0,0,177.0,46.0,,,,,,,559,518,23.0,714
SKU0022,2024-02-13,321.0,713948.9400000001,2224.14,0,0,Small Appliances,Fans,1269.26,7,2,0,0,145.0,,,,,,,,158,812,14.0,775
SKU0111,2024-02-20,124.0,729453.5599999999,5882.69,0,0,Bedding,Comforters,3814.54,8,2,0,0,133.0,133.0,142.0,,138.5,,6.5574385242943265,138.5,73,412,25.0,360
SKU0055,2024-02-20,192.0,331453.44,1726.32,0,0,Decor,Rugs,1115.69,8,2,0,0,204.0,227.0,210.0,,208.25,,14.568802284331628,208.25,0,715,25.0,517
SKU0078,2024-02-20,338.0,427373.96,1264.42,0,0,Furniture,Sofas,863.64,8,2,0,0,322.0,233.0,,,,,,,215,295,11.0,256
SKU0089,2024-02-20,232.0,888747.92,3830.81,0,0,Decor,Rugs,2015.93,8,2,0,0,218.0,22.0,,,,,,,0,195,9.0,111
SKU0084,2024-02-20,96.0,541626.24,5641.94,0,0,Small Appliances,Kettles,3714.4,8,2,0,0,139.0,124.0,,,,,,,388,0,12.0,310
SKU0022,2024-02-20,293.0,651673.02,2224.14,0,0,Small Appliances,Fans,1269.26,8,2,0,0,321.0,145.0,,,,,,,649,780,14.0,775
SKU0115,2024-02-20,253.0,2182317.28,8625.76,0,0,Decor,Rugs,3690.08,8,2,0,0,273.0,276.0,261.0,,255.25,,30.203476621075467,255.25,0,412,14.0,383
SKU0129,2024-02-20,28.0,24870.72,888.24,0,0,Small Appliances,Kettles,360.93,8,2,0,0,1.0,,,,,,,,37,130,29.0,122
SKU0007,2024-02-20,21.0,176154.09,8388.29,0,0,Bedding,Pillows,3593.86,8,2,0,0,9.0,,,,,,,,29,46,26.0,75
SKU0182,2024-02-20,219.0,297833.43,1359.97,0,0,Kitchen,Cutlery,615.27,8,2,0,0,165.0,177.0,,,,,,,394,518,23.0,714
SKU0113,2024-02-20,132.0,63356.04,479.96999999999997,0,0,Small Appliances,Heaters,2001.84,8,2,0,0,109.0,151.0,127.0,,126.25,,18.062391868185777,126.25,203,324,28.0,448
SKU0067,2024-02-20,164.0,1217312.88,6210.78,0,0,Bedding,Pillows,2464.96,8,2,0,0,119.0,148.0,149.0,,158.75,,42.50784241368427,158.75,155,651,26.0,532
SKU0129,2024-02-27,17.0,15100.08,888.24,0,0,Small Appliances,Kettles,360.93,9,2,0,0,28.0,1.0,,,,,,,75,64,29.0,122
SKU0113,2024-02-27,125.0,59996.25,479.96999999999997,0,0,Small Appliances,Heaters,2001.84,9,2,0,0,132.0,109.0,118.0,,127.5,,18.303005217720482,127.5,71,604,28.0,448
SKU0195,2024-02-27,158.0,217256.32,1375.0399999999997,0,0,Furniture,Tables,967.52,9,2,0,0,,,,,,,,,109,777,22.0,548
SKU0007,2024-02-27,12.0,100659.48000000001,8388.29,0,0,Bedding,Pillows,3593.86,9,2,0,0,21.0,9.0,,,,,,,8,98,26.0,75
SKU0180,2024-02-27,149.0,813402.9199999999,5459.08,0,0,Kitchen,Storage,2310.75,9,2,0,0,,,,,,,,,408,1673,23.0,1363
SKU0115,2024-02-27,219.0,1889041.44,8625.76,0,0,Decor,Rugs,3690.08,9,2,0,0,253.0,273.0,211.0,,253.25,,29.959695147534234,253.25,277,390,14.0,383
SKU0055,2024-02-27,163.0,281390.16000000003,1726.32,0,0,Decor,Rugs,1115.69,9,2,0,0,192.0,204.0,192.0,312.0,203.75,226.625,16.4999999999984,203.75,250,357,25.0,517
SKU0182,2024-02-27,146.0,198555.62,1359.97,0,0,Kitchen,Cutlery,615.27,9,2,0,0,219.0,165.0,46.0,,151.75,,74.2041103982785,151.75,175,518,23.0,714
SKU0089,2024-02-27,184.0,704869.04,3830.81,0,0,Decor,Rugs,2015.93,9,2,0,0,232.0,218.0,,,,,,,110,0,9.0,111
SKU0078,2024-02-27,163.0,206100.46,1264.42,0,0,Furniture,Sofas,863.64,9,2,0,0,338.0,322.0,,,,,,,0,295,11.0,256
SKU0111,2024-02-27,126.0,741218.94,5882.69,0,0,Bedding,Comforters,3814.54,9,2,0,0,124.0,133.0,146.0,172.0,134.0,143.5,9.055385138131951,134.0,0,412,25.0,360
SKU0022,2024-02-27,264.0,587172.96,2224.14,0,0,Small Appliances,Fans,1269.26,9,2,0,0,293.0,321.0,,,,,,,356,780,14.0,775
SKU0067,2024-02-27,83.0,515494.74,6210.78,0,0,Bedding,Pillows,2464.96,9,2,0,0,164.0,119.0,219.0,178.0,162.5,164.125,42.01983658543444,162.5,0,651,26.0,532
SKU0084,2024-02-27,73.0,411861.62,5641.94,0,0,Small Appliances,Kettles,3714.4,9,2,0,0,96.0,139.0,,,,,,,292,326,12.0,310
SKU0111,2024-03-05,112.0,658861.28,5882.69,0,0,Bedding,Comforters,3814.54,10,3,0,0,126.0,124.0,133.0,181.0,129.0,137.75,4.690415759813085,129.0,119,420,25.0,360
SKU0089,2024-03-05,111.0,425219.91,3830.81,0,0,Decor,Rugs,2015.93,10,3,0,0,184.0,232.0,22.0,,164.0,,96.78842906050225,164.0,0,162,9.0,111
SKU0195,2024-03-05,132.0,181505.28,1375.0399999999997,0,0,Furniture,Tables,967.52,10,3,0,0,158.0,,,,,,,,294,434,22.0,548
SKU0007,2024-03-05,14.0,117436.06,8388.29,0,0,Bedding,Pillows,3593.86,10,3,0,0,12.0,21.0,,,,,,,42,52,26.0,75
SKU0002,2024-03-05,127.0,1147973.32,9039.16,0,0,Small Appliances,Kettles,3907.36,10,3,0,0,,,,,,,,,473,0,11.0,400
SKU0115,2024-03-05,188.0,1621642.88,8625.76,0,0,Decor,Rugs,3690.08,10,3,0,0,219.0,253.0,276.0,285.0,255.25,256.25,26.234519244686997,255.25,58,390,14.0,383
SKU0078,2024-03-05,272.0,343922.24,1264.42,0,0,Furniture,Sofas,863.64,10,3,0,0,163.0,338.0,233.0,,264.0,,81.65374047361985,264.0,189,334,11.0,256
SKU0022,2024-03-05,215.0,478190.1,2224.14,0,0,Small Appliances,Fans,1269.26,10,3,0,0,264.0,293.0,145.0,,255.75,,77.41393070156464,255.75,872,0,14.0,775
SKU0113,2024-03-05,125.0,59996.25,479.96999999999997,0,0,Small Appliances,Heaters,2001.84,10,3,0,0,125.0,132.0,151.0,,129.25,,17.404501333464548,129.25,0,604,28.0,448
SKU0055,2024-03-05,180.0,310737.6,1726.32,0,0,Decor,Rugs,1115.69,10,3,0,0,163.0,192.0,227.0,252.0,196.5,208.0,26.639569566091247,196.5,87,659,25.0,517
SKU0182,2024-03-05,145.0,197195.65,1359.97,0,0,Kitchen,Cutlery,615.27,10,3,0,0,146.0,219.0,177.0,,176.75,,30.923292192130788,176.75,547,522,23.0,714
SKU0084,2024-03-05,90.0,507774.6,5641.94,0,0,Small Appliances,Kettles,3714.4,10,3,0,0,73.0,96.0,124.0,,108.0,,29.3598365118056,108.0,219,326,12.0,310
SKU0067,2024-03-05,124.0,770136.72,6210.78,0,0,Bedding,Pillows,2464.96,10,3,0,0,83.0,164.0,148.0,207.0,128.5,152.25,35.59494346111472,128.5,246,330,26.0,532
SKU0129,2024-03-05,15.0,13323.599999999999,888.24,0,0,Small Appliances,Kettles,360.93,10,3,0,0,17.0,28.0,,,,,,,58,64,29.0,122
SKU0013,2024-03-05,61.0,485251.33999999997,7954.94,0,0,Bedding,Comforters,3362.59,10,3,0,0,,,,,,,,,104,192,7.0,110
SKU0180,2024-03-05,282.0,1539460.56,5459.08,0,0,Kitchen,Storage,2310.75,10,3,0,0,149.0,,,,,,,,1003,836,23.0,1363
SKU0129,2024-03-12,22.0,19541.28,888.24,0,0,Small Appliances,Kettles,360.93,11,3,0,0,15.0,17.0,1.0,,15.25,,11.086778913039199,15.25,43,127,29.0,122
SKU0089,2024-03-12,153.0,586113.93,3830.81,0,0,Decor,Rugs,2015.93,11,3,0,0,111.0,184.0,218.0,,186.25,,54.06400527769418,186.25,63,170,9.0,111
SKU0195,2024-03-12,131.0,180130.24,1375.0399999999997,0,0,Furniture,Tables,967.52,11,3,0,0,132.0,158.0,,,,,,,162,434,22.0,548
SKU0013,2024-03-12,141.0,1121646.54,7954.94,0,0,Bedding,Comforters,3362.59,11,3,0,0,61.0,,,,,,,,179,0,7.0,110
SKU0002,2024-03-12,179.0,1618009.6400000001,9039.16,0,0,Small Appliances,Kettles,3907.36,11,3,0,0,127.0,,,,,,,,316,495,11.0,400
SKU0115,2024-03-12,180.0,1552636.8,8625.76,0,0,Decor,Rugs,3690.08,11,3,0,0,188.0,219.0,273.0,272.0,233.25,244.125,37.50888783563871,233.25,290,0,14.0,383
SKU0022,2024-03-12,277.0,616086.78,2224.14,0,0,Small Appliances,Fans,1269.26,11,3,0,0,215.0,264.0,321.0,,273.25,,45.27232414327012,273.25,657,726,14.0,775
SKU0113,2024-03-12,110.0,52796.7,479.96999999999997,0,0,Small Appliances,Heaters,2001.84,11,3,0,0,125.0,125.0,109.0,,122.75,,9.742518497112112,122.75,273,280,28.0,448
SKU0055,2024-03-12,189.0,326274.48,1726.32,0,0,Decor,Rugs,1115.69,11,3,0,0,180.0,163.0,204.0,224.0,184.75,199.0,17.499999999998572,184.75,264,302,25.0,517
SKU0180,2024-03-12,294.0,1604969.52,5459.08,0,0,Kitchen,Storage,2310.75,11,3,0,0,282.0,149.0,,,,,,,721,836,23.0,1363
SKU0025,2024-03-12,147.0,846017.34,5755.22,0,0,Decor,Wall Art,2944.97,11,3,0,0,,,,,,,,,446,548,18.0,704
SKU0182,2024-03-12,128.0,174076.16,1359.97,0,0,Kitchen,Cutlery,615.27,11,3,0,0,145.0,146.0,165.0,,168.75,,34.74070619124727,168.75,402,522,23.0,714
SKU0084,2024-03-12,96.0,541626.24,5641.94,0,0,Small Appliances,Kettles,3714.4,11,3,0,0,90.0,73.0,139.0,,99.5,,28.077274321651807,99.5,455,0,12.0,310
SKU0078,2024-03-12,254.0,321162.68,1264.42,0,0,Furniture,Sofas,863.64,11,3,0,0,272.0,163.0,322.0,,273.75,,79.00369189685543,273.75,0,334,11.0,256
SKU0111,2024-03-12,119.0,700040.11,5882.69,0,0,Bedding,Comforters,3814.54,11,3,0,0,112.0,126.0,133.0,117.0,123.75,129.125,8.732124598281047,123.75,218,209,25.0,360
SKU0067,2024-03-12,130.0,807401.4,6210.78,0,0,Bedding,Pillows,2464.96,11,3,0,0,124.0,83.0,119.0,129.0,122.5,141.875,33.151168908500864,122.5,122,630,26.0,532
SKU0007,2024-03-12,16.0,134212.64,8388.29,0,0,Bedding,Pillows,3593.86,11,3,0,0,14.0,12.0,9.0,,14.0,,5.099019513594574,14.0,28,52,26.0,75
SKU0116,2024-03-12,24.0,235019.76,9792.49,0,0,Decor,Lighting,3988.73,11,3,0,0,,,,,,,,,322,0,10.0,234
SKU0067,2024-03-19,101.0,627288.78,6210.78,0,1,Bedding,Pillows,2464.96,12,3,0,1,130.0,124.0,164.0,149.0,125.25,142.0,33.220224763437216,125.25,322,300,26.0,532
SKU0195,2024-03-19,125.0,171880.0,1375.0399999999997,0,1,Furniture,Tables,967.52,12,3,0,1,131.0,132.0,,,,,,,31,787,22.0,548
SKU0007,2024-03-19,14.0,117436.06,8388.29,0,1,Bedding,Pillows,3593.86,12,3,0,1,16.0,14.0,21.0,,15.75,,3.862210075421172,15.75,12,96,26.0,75
SKU0129,2024-03-19,20.0,17764.8,888.24,0,1,Small Appliances,Kettles,360.93,12,3,0,1,22.0,15.0,28.0,,20.5,,5.802298395171433,20.5,85,63,29.0,122
SKU0002,2024-03-19,166.0,1500500.56,9039.16,0,1,Small Appliances,Kettles,3907.36,12,3,0,1,179.0,127.0,,,,,,,137,495,11.0,400
SKU0089,2024-03-19,130.0,498005.3,3830.81,0,1,Decor,Rugs,2015.93,12,3,0,1,153.0,111.0,232.0,,170.0,,51.02287068887059,170.0,165,0,9.0,111
SKU0115,2024-03-19,186.0,1604391.36,8625.76,0,1,Decor,Rugs,3690.08,12,3,0,1,180.0,188.0,253.0,261.0,210.0,232.625,33.23652609203514,210.0,110,498,14.0,383
SKU0022,2024-03-19,269.0,598293.66,2224.14,0,1,Small Appliances,Fans,1269.26,12,3,0,1,277.0,215.0,293.0,,262.25,,33.65882747016972,262.25,380,726,14.0,775
SKU0104,2024-03-19,35.0,33980.45,970.87,0,1,Small Appliances,Fans,644.99,12,3,0,1,,,,,,,,,772,0,9.0,482
SKU0013,2024-03-19,115.0,914818.1000000001,7954.94,0,1,Bedding,Comforters,3362.59,12,3,0,1,141.0,61.0,,,,,,,38,193,7.0,110
SKU0180,2024-03-19,298.0,1626805.8399999999,5459.08,0,1,Kitchen,Storage,2310.75,12,3,0,1,294.0,282.0,,,,,,,1263,813,23.0,1363
SKU0055,2024-03-19,180.0,310737.6,1726.32,0,1,Decor,Rugs,1115.69,12,3,0,1,189.0,180.0,192.0,210.0,181.0,194.625,13.038404810403401,181.0,75,594,25.0,517
SKU0113,2024-03-19,108.0,51836.76,479.96999999999997,0,1,Small Appliances,Heaters,2001.84,12,3,0,1,110.0,125.0,132.0,127.0,123.0,124.625,9.273618495490576,123.0,163,512,28.0,448
SKU0078,2024-03-19,244.0,308518.48,1264.42,0,1,Furniture,Sofas,863.64,12,3,0,1,254.0,272.0,338.0,,256.75,,72.18206148344566,256.75,142,325,11.0,256
SKU0116,2024-03-19,133.0,1302401.17,9792.49,0,1,Decor,Lighting,3988.73,12,3,0,1,24.0,,,,,,,,179,297,10.0,234
SKU0084,2024-03-19,96.0,541626.24,5641.94,0,1,Small Appliances,Kettles,3714.4,12,3,0,1,96.0,90.0,96.0,,88.75,,10.874281585463768,88.75,359,0,12.0,310
SKU0182,2024-03-19,183.0,248874.51,1359.97,0,1,Kitchen,Cutlery,615.27,12,3,0,1,128.0,145.0,219.0,,159.5,,40.51748593714285,159.5,254,522,23.0,714
SKU0025,2024-03-19,348.0,2002816.56,5755.22,0,1,Decor,Wall Art,2944.97,12,3,0,1,147.0,,,,,,,,165,548,18.0,704
SKU0111,2024-03-19,106.0,623565.14,5882.69,0,1,Bedding,Comforters,3814.54,12,3,0,1,119.0,112.0,124.0,142.0,120.25,129.375,6.238322424063454,120.25,99,433,25.0,360
SKU0055,2024-03-26,173.0,298653.36,1726.32,0,0,Decor,Rugs,1115.69,13,3,0,0,180.0,189.0,163.0,192.0,178.0,190.875,10.862780491197958,178.0,0,594,25.0,517
SKU0104,2024-03-26,153.0,148543.11,970.87,0,0,Small Appliances,Fans,644.99,13,3,0,0,35.0,,,,,,,,558,0,9.0,482
SKU0129,2024-03-26,16.0,14211.84,888.24,0,0,Small Appliances,Kettles,360.93,13,3,0,0,20.0,22.0,17.0,,18.5,,3.109126351020431,18.5,65,63,29.0,122
SKU0002,2024-03-26,167.0,1509539.72,9039.16,0,0,Small Appliances,Kettles,3907.36,13,3,0,0,166.0,179.0,,,,,,,466,0,11.0,400
SKU0115,2024-03-26,210.0,1811409.6,8625.76,0,0,Decor,Rugs,3690.08,13,3,0,0,186.0,180.0,219.0,211.0,193.25,223.25,17.499999999996323,193.25,0,498,14.0,383
SKU0180,2024-03-26,282.0,1539460.56,5459.08,0,0,Kitchen,Storage,2310.75,13,3,0,0,298.0,294.0,149.0,,255.75,,71.49067538264374,255.75,965,813,23.0,1363
SKU0025,2024-03-26,257.0,1479091.54,5755.22,0,0,Decor,Wall Art,2944.97,13,3,0,0,348.0,147.0,,,,,,,425,544,18.0,704
SKU0022,2024-03-26,278.0,618310.92,2224.14,0,0,Small Appliances,Fans,1269.26,13,3,0,0,269.0,277.0,264.0,,256.25,,28.01636426566894,256.25,837,0,14.0,775
SKU0116,2024-03-26,155.0,1517835.95,9792.49,0,0,Decor,Lighting,3988.73,13,3,0,0,133.0,24.0,,,,,,,46,297,10.0,234
SKU0078,2024-03-26,275.0,347715.5,1264.42,0,0,Furniture,Sofas,863.64,13,3,0,0,244.0,254.0,163.0,,233.25,,48.24503428678714,233.25,0,325,11.0,256
SKU0007,2024-03-26,13.0,109047.77000000002,8388.29,0,0,Bedding,Pillows,3593.86,13,3,0,0,14.0,16.0,12.0,,14.0,,1.6329931618610398,14.0,50,44,26.0,75
SKU0113,2024-03-26,131.0,62876.07,479.96999999999997,0,0,Small Appliances,Heaters,2001.84,13,3,0,0,108.0,110.0,125.0,118.0,117.0,122.25,9.273618495490696,117.0,335,232,28.0,448
SKU0182,2024-03-26,104.0,141436.88,1359.97,0,0,Kitchen,Cutlery,615.27,13,3,0,0,183.0,128.0,146.0,46.0,150.5,151.125,23.187640385916197,150.5,593,460,23.0,714
SKU0109,2024-03-26,127.0,737514.4,5807.2,0,0,Bedding,Pillows,2301.37,13,3,0,0,,,,,,,,,298,422,22.0,667
SKU0084,2024-03-26,40.0,225677.6,5641.94,0,0,Small Appliances,Kettles,3714.4,13,3,0,0,96.0,96.0,73.0,,88.75,,10.874281585463768,88.75,263,0,12.0,310
SKU0089,2024-03-26,189.0,724023.09,3830.81,0,0,Decor,Rugs,2015.93,13,3,0,0,130.0,153.0,184.0,,144.5,,31.437769216870496,144.5,35,201,9.0,111
SKU0013,2024-03-26,122.0,970502.6799999999,7954.94,0,0,Bedding,Comforters,3362.59,13,3,0,0,115.0,141.0,,,,,,,119,0,7.0,110
SKU0023,2024-03-26,128.0,894004.48,6984.41,0,0,Small Appliances,Heaters,3178.81,13,3,0,0,,,,,,,,,519,756,16.0,869
SKU0111,2024-03-26,109.0,641213.21,5882.69,0,0,Bedding,Comforters,3814.54,13,3,0,0,106.0,119.0,126.0,146.0,115.75,124.875,8.655441448393873,115.75,0,433,25.0,360
SKU0195,2024-03-26,113.0,184255.36,1375.0399999999997,0,0,Furniture,Tables,967.52,13,3,0,0,125.0,131.0,158.0,,136.5,,14.662878298612265,136.5,340,353,22.0,548
SKU0067,2024-03-26,152.0,944038.5599999999,6210.78,0,0,Bedding,Pillows,2464.96,13,3,0,0,101.0,130.0,83.0,219.0,109.5,136.0,21.64101045083823,109.5,221,591,26.0,532
SKU0111,2024-04-02,100.0,588269.0,5882.69,0,0,Bedding,Comforters,3814.54,14,4,0,0,109.0,106.0,112.0,133.0,111.5,120.25,5.567764362821903,111.5,115,445,25.0,360
SKU0098,2024-04-02,27.0,245033.1,9075.3,0,0,Bedding,Comforters,3843.74,14,4,0,0,,,,,,,,,141,0,10.0,100
SKU0025,2024-04-02,226.0,1300679.72,5755.22,0,0,Decor,Wall Art,2944.97,14,4,0,0,257.0,348.0,,,,,,,168,544,18.0,704
SKU0022,2024-04-02,308.0,685035.12,2224.14,0,0,Small Appliances,Fans,1269.26,14,4,0,0,278.0,269.0,215.0,145.0,259.75,257.75,30.10398644698049,259.75,559,772,14.0,775
SKU0113,2024-04-02,121.0,58076.37,479.96999999999997,0,0,Small Appliances,Heaters,2001.84,14,4,0,0,131.0,108.0,125.0,151.0,118.5,123.875,11.269427669580498,118.5,204,232,28.0,448
SKU0136,2024-04-02,147.0,326173.89,2218.87,0,0,Small Appliances,Fans,1256.69,14,4,0,0,,,,,,,,,324,910,28.0,819
SKU0078,2024-04-02,208.0,262999.36,1264.42,0,0,Furniture,Sofas,863.64,14,4,0,0,275.0,244.0,272.0,233.0,261.25,262.625,14.773286702691756,261.25,122,309,11.0,256
SKU0013,2024-04-02,99.0,787539.0599999999,7954.94,0,0,Bedding,Comforters,3362.59,14,4,0,0,122.0,115.0,61.0,,109.75,,34.306219066907744,109.75,0,190,7.0,110
SKU0180,2024-04-02,250.0,1364770.0,5459.08,0,0,Kitchen,Storage,2310.75,14,4,0,0,282.0,298.0,282.0,,289.0,,8.246211251227228,289.0,683,813,23.0,1363
SKU0109,2024-04-02,171.0,993031.2000000001,5807.2,0,0,Bedding,Pillows,2301.37,14,4,0,0,127.0,,,,,,,,31,850,22.0,667
SKU0055,2024-04-02,170.0,293474.4,1726.32,0,0,Decor,Rugs,1115.69,14,4,0,0,173.0,180.0,180.0,227.0,180.5,188.5,6.55743852429823,180.5,129,652,25.0,517
SKU0182,2024-04-02,131.0,178156.07,1359.97,0,0,Kitchen,Cutlery,615.27,14,4,0,0,104.0,183.0,145.0,177.0,140.0,158.375,33.236526092035774,140.0,489,460,23.0,714
SKU0115,2024-04-02,187.0,1613017.12,8625.76,0,0,Decor,Rugs,3690.08,14,4,0,0,210.0,186.0,188.0,276.0,191.0,223.125,13.114877048599121,191.0,324,372,14.0,383
