sku_id,category,subcategory,launch_date,unit_cost,list_price
SKU0149,Kitchen,Cookware,2024-11-01,3454.88,6380.17
SKU0150,Kitchen,Cutlery,2024-04-17,2483.19,3833.07
SKU0151,Small Appliances,Blenders,2024-12-17,3982.76,9265.99
SKU0152,Kitchen,Storage,2024-08-05,2813.13,6319.66
SKU0153,Bedding,Pillows,2025-10-09,240.77,397.48
SKU0154,Bedding,Comforters,2025-01-02,822.25,1314.85
SKU0155,Small Appliances,Fans,2025-10-06,2312.68,5566.35
SKU0156,Kitchen,Cutlery,2025-11-24,738.06,1430.28
SKU0157,Kitchen,Storage,2024-08-18,3070.25,5896.52
SKU0158,Furniture,Tables,2024-11-24,772.56,1249.32
SKU0159,Decor,Vases,2025-10-20,1084.84,1898.98
SKU0160,Furniture,Chairs,2024-12-09,,4837.43
SKU0161,Furniture,Chairs,2024-07-07,3405.64,7373.57
SKU0162,Decor,Lighting,2025-03-30,2746.77,6360.1
SKU0163,Bedding,Sheets,2025-05-22,2250.2,4064.19
SKU0164,Decor,Vases,2025-08-14,2033.78,4723.16
SKU0165,Bedding,Comforters,2024-09-15,3656.3,7694.86
SKU0166,Small Appliances,Kettles,2025-08-18,1494.25,2986.38
SKU0167,kitchen,Storage,2024-12-27,1714.5,4287.63
SKU0168,Furniture,Sofas,2025-03-17,874.53,1579.95
SKU0169,Decor,Wall Art,2024-06-30,3724.35,7217.23
SKU0170,Furniture,Tables,2024-08-03,2474.21,3485.61
SKU0171,Small Appliances,Blenders,2024-04-29,2608.33,6724.71
SKU0172,Bedding,Comforters,2025-03-10,2014.52,4661.03
SKU0173,Bedding,Comforters,2024-12-26,3860.2,9026.72
SKU0174,Bedding,Pillows,2025-08-29,633.6,1443.91
SKU0175,Kitchen,Storage,2025-03-30,2685.59,6885.26
SKU0176,Small Appliances,Kettles,2025-11-20,1295.27,2953.87
SKU0177,Kitchen,Cutlery,2025-03-21,670.71,971.95
SKU0178,Decor,Lighting,2025-06-28,2060.86,5322.48
SKU0179,Kitchen,Storage,2024-08-15,1763.99,4149.64
SKU0180,Kitchen,Storage,2024-02-29,2310.75,5459.08
SKU0181,Decor,Vases,2024-11-07,340.49,628.97
SKU0182,Kitchen,Cutlery,2024-02-04,615.27,1359.97
SKU0183,Bedding,Comforters,2025-04-04,3488.73,7979.83
SKU0184,Bedding,Pillows,2025-07-14,386.06,649.14
SKU0185,Furniture,Sofas,2024-06-12,217.1,438.01
SKU0186,Kitchen,Cookware,2025-04-19,312.51,588.03
SKU0187,Bedding,Comforters,2025-03-03,1103.1,2673.18
SKU0188,Bedding,Pillows,2024-08-31,3442.71,6054.81
SKU0189,Bedding,Pillows,2024-11-10,1244.34,3065.89
SKU0190,Decor,Vases,2024-05-11,522.28,945.49
SKU0191,Small Appliances,Heaters,2024-10-24,3995.22,7014.15
SKU0192,Kitchen,Cutlery,2024-10-12,719.92,1504.52
SKU0193,Furniture,Shelving,2025-08-21,2461.81,4605.66
SKU0194,Bedding,Pillows,2025-10-02,2088.28,3260.31
SKU0195,Furniture,Tables,2024-02-27,967.52,1375.04
SKU0196,Furniture,Tables,2024-11-13,2611.25,4731.46
SKU0197,Small Appliances,Blenders,2025-09-13,3057.46,6264.82
SKU0198,Kitchen,Cutlery,2024-07-18,3608.59,6070.07
SKU0199,Small Appliances,Blenders,2025-09-15,2212.26,5067.8
SKU0200,Kitchen,Cookware,2025-02-17,2683.07,4720.22
SKU0087,Bedding,Sheets,2025-08-01,2154.05,5232.37
SKU0121,Decor,Lighting,2025-09-28,220.63,322.56
SKU0023,Small Appliances,Heaters,2024-03-29,3178.81,6984.41
